id	line	column	filename	methodname	varname	vartype	lastassign	isparam	incondnum	bodyuse	if
20	60	4	Address.java	Address	THIS	Address	build()	0	0	NO_USE	0
21	63	4	Address.java	Address	uriHost	String	PARAM_AS	1	0	NO_USE	0
21	63	4	Address.java	Address	uriPort	int	PARAM_AS	1	0	NO_USE	0
21	63	4	Address.java	Address	dns	Dns	PARAM_AS	1	1	NO_USE	0
21	63	4	Address.java	Address	socketFactory	SocketFactory	PARAM_AS	1	1	NO_USE	1
21	63	4	Address.java	Address	sslSocketFactory	SSLSocketFactory	PARAM_AS	1	0	NO_USE	0
21	63	4	Address.java	Address	hostnameVerifier	HostnameVerifier	PARAM_AS	1	0	NO_USE	0
21	63	4	Address.java	Address	certificatePinner	CertificatePinner	PARAM_AS	1	0	NO_USE	0
21	63	4	Address.java	Address	proxyAuthenticator	Authenticator	PARAM_AS	1	1	NO_USE	0
21	63	4	Address.java	Address	proxy	Proxy	PARAM_AS	1	0	NO_USE	0
21	63	4	Address.java	Address	protocols	List<Protocol>	PARAM_AS	1	1	NO_USE	0
21	63	4	Address.java	Address	connectionSpecs	List<ConnectionSpec>	PARAM_AS	1	1	NO_USE	0
21	63	4	Address.java	Address	proxySelector	ProxySelector	PARAM_AS	1	1	NO_USE	0
21	63	4	Address.java	Address	THIS	Address	NAME	0	0	NO_USE	0
22	66	4	Address.java	Address	uriHost	String	PARAM_AS	1	0	NO_USE	0
22	66	4	Address.java	Address	uriPort	int	PARAM_AS	1	0	NO_USE	0
22	66	4	Address.java	Address	dns	Dns	PARAM_AS	1	1	NO_USE	0
22	66	4	Address.java	Address	socketFactory	SocketFactory	PARAM_AS	1	1	NO_USE	0
22	66	4	Address.java	Address	sslSocketFactory	SSLSocketFactory	PARAM_AS	1	0	NO_USE	0
22	66	4	Address.java	Address	hostnameVerifier	HostnameVerifier	PARAM_AS	1	0	NO_USE	0
22	66	4	Address.java	Address	certificatePinner	CertificatePinner	PARAM_AS	1	0	NO_USE	0
22	66	4	Address.java	Address	proxyAuthenticator	Authenticator	PARAM_AS	1	1	NO_USE	1
22	66	4	Address.java	Address	proxy	Proxy	PARAM_AS	1	0	NO_USE	0
