/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_var/main.py
Training var model for guava_...
Dataset size: (7808, 12)
Class number: 2
Training set size: (6246, 8)
Validating set size: (1562, 8)
Positive examples : 2890
Negative examples : 4918
Preprossing finished, time cost : 0:00:00.271879
Data splited and saved in ../input/guava/var/guava_.var_train.csv and ../input/guava/var/guava_.var_valid.csv
Training set size: (7808, 9)
Validataion set size: (1562, 9)
Training the model...
[0]	train-error:0.189037	eval-error:0.165813
Multiple eval metrics have been passed: 'eval-error' will be used for early stopping.

Will train until eval-error hasn't improved in 100 rounds.
[226]	train-error:0.09772	eval-error:0.09347
[227]	train-error:0.097336	eval-error:0.09411
[228]	train-error:0.097464	eval-error:0.09283
[229]	train-error:0.097208	eval-error:0.09347
[230]	train-error:0.096824	eval-error:0.09347
[231]	train-error:0.096952	eval-error:0.09411
[232]	train-error:0.097208	eval-error:0.096031
[233]	train-error:0.097208	eval-error:0.09411
[234]	train-error:0.09708	eval-error:0.092189
[235]	train-error:0.097208	eval-error:0.092189
[236]	train-error:0.097208	eval-error:0.092189
[237]	train-error:0.096952	eval-error:0.09283
[238]	train-error:0.096696	eval-error:0.09347
[239]	train-error:0.096824	eval-error:0.092189
[240]	train-error:0.097336	eval-error:0.09283
[241]	train-error:0.096824	eval-error:0.092189
[242]	train-error:0.096824	eval-error:0.091549
[243]	train-error:0.095799	eval-error:0.090269
[244]	train-error:0.09644	eval-error:0.09283
[245]	train-error:0.096568	eval-error:0.09283
[246]	train-error:0.09644	eval-error:0.092189
[247]	train-error:0.096183	eval-error:0.09283
[248]	train-error:0.095799	eval-error:0.091549
[249]	train-error:0.095159	eval-error:0.090909
[250]	train-error:0.094903	eval-error:0.090269
[251]	train-error:0.094518	eval-error:0.090909
[252]	train-error:0.094903	eval-error:0.090909
[253]	train-error:0.094775	eval-error:0.090269
[254]	train-error:0.094518	eval-error:0.090269
[255]	train-error:0.094647	eval-error:0.092189
[256]	train-error:0.094647	eval-error:0.089629
[257]	train-error:0.094134	eval-error:0.088988
[258]	train-error:0.094134	eval-error:0.090269
[259]	train-error:0.094262	eval-error:0.090269
[260]	train-error:0.094134	eval-error:0.090909
[261]	train-error:0.093878	eval-error:0.091549
[262]	train-error:0.093878	eval-error:0.092189
[263]	train-error:0.093622	eval-error:0.091549
[264]	train-error:0.093238	eval-error:0.090909
[265]	train-error:0.093494	eval-error:0.090909
[266]	train-error:0.09311	eval-error:0.091549
[267]	train-error:0.092982	eval-error:0.091549
[268]	train-error:0.092725	eval-error:0.090269
[269]	train-error:0.092853	eval-error:0.090269
[270]	train-error:0.092982	eval-error:0.090269
[271]	train-error:0.092597	eval-error:0.089629
[272]	train-error:0.092597	eval-error:0.089629
[273]	train-error:0.09311	eval-error:0.091549
[274]	train-error:0.092982	eval-error:0.090909
[275]	train-error:0.092597	eval-error:0.089629
[276]	train-error:0.092725	eval-error:0.090269
[277]	train-error:0.092213	eval-error:0.089629
[278]	train-error:0.092469	eval-error:0.089629
[279]	train-error:0.092597	eval-error:0.088988
[280]	train-error:0.092725	eval-error:0.088988
[281]	train-error:0.092597	eval-error:0.087708
[282]	train-error:0.092982	eval-error:0.088348
[283]	train-error:0.092725	eval-error:0.088988
[284]	train-error:0.092597	eval-error:0.088988
[285]	train-error:0.092469	eval-error:0.088348
