/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_var/main.py
Training var model for RxJava_...
Dataset size: (5253, 12)
Class number: 2
Training set size: (4202, 8)
Validating set size: (1051, 8)
Positive examples : 2001
Negative examples : 3252
Preprossing finished, time cost : 0:00:00.067141
Data splited and saved in ../input/RxJava/var/RxJava_.var_train.csv and ../input/RxJava/var/RxJava_.var_valid.csv
Training set size: (5253, 9)
Validataion set size: (1051, 9)
Model file already exists and be removed.
Training the model...
[0]	train-error:0.233581	eval-error:0.2255
Multiple eval metrics have been passed: 'eval-error' will be used for early stopping.

Will train until eval-error hasn't improved in 100 rounds.
[249]	train-error:0.114411	eval-error:0.11608
[250]	train-error:0.114411	eval-error:0.11608
[251]	train-error:0.114411	eval-error:0.114177
[252]	train-error:0.114411	eval-error:0.111323
[253]	train-error:0.114411	eval-error:0.112274
[254]	train-error:0.11422	eval-error:0.115128
[255]	train-error:0.11403	eval-error:0.112274
[256]	train-error:0.114601	eval-error:0.114177
[257]	train-error:0.11422	eval-error:0.113225
[258]	train-error:0.11403	eval-error:0.112274
[259]	train-error:0.11403	eval-error:0.113225
[260]	train-error:0.11403	eval-error:0.113225
[261]	train-error:0.113649	eval-error:0.112274
[262]	train-error:0.11384	eval-error:0.111323
[263]	train-error:0.113269	eval-error:0.111323
[264]	train-error:0.113078	eval-error:0.111323
[265]	train-error:0.112888	eval-error:0.112274
[266]	train-error:0.113078	eval-error:0.113225
[267]	train-error:0.112698	eval-error:0.114177
[268]	train-error:0.113269	eval-error:0.113225
[269]	train-error:0.112698	eval-error:0.112274
[270]	train-error:0.113078	eval-error:0.11608
[271]	train-error:0.112888	eval-error:0.112274
[272]	train-error:0.112888	eval-error:0.113225
[273]	train-error:0.112888	eval-error:0.113225
[274]	train-error:0.112507	eval-error:0.114177
[275]	train-error:0.112698	eval-error:0.114177
[276]	train-error:0.112317	eval-error:0.114177
[277]	train-error:0.112507	eval-error:0.114177
[278]	train-error:0.111936	eval-error:0.112274
[279]	train-error:0.111936	eval-error:0.112274
[280]	train-error:0.111555	eval-error:0.110371
[281]	train-error:0.111365	eval-error:0.110371
[282]	train-error:0.110984	eval-error:0.112274
[283]	train-error:0.111175	eval-error:0.111323
[284]	train-error:0.111365	eval-error:0.111323
[285]	train-error:0.111365	eval-error:0.110371
[286]	train-error:0.110984	eval-error:0.110371
[287]	train-error:0.110223	eval-error:0.110371
[288]	train-error:0.110223	eval-error:0.110371
[289]	train-error:0.110413	eval-error:0.110371
[290]	train-error:0.110413	eval-error:0.110371
[291]	train-error:0.110413	eval-error:0.110371
[292]	train-error:0.110223	eval-error:0.110371
[293]	train-error:0.110223	eval-error:0.111323
[294]	train-error:0.110223	eval-error:0.111323
[295]	train-error:0.110223	eval-error:0.111323
[296]	train-error:0.110223	eval-error:0.111323
[297]	train-error:0.110223	eval-error:0.112274
[298]	train-error:0.110032	eval-error:0.112274
[299]	train-error:0.110984	eval-error:0.112274
[300]	train-error:0.111175	eval-error:0.112274
[301]	train-error:0.110413	eval-error:0.112274
[302]	train-error:0.110603	eval-error:0.113225
[303]	train-error:0.110794	eval-error:0.113225
[304]	train-error:0.109461	eval-error:0.111323
[305]	train-error:0.109461	eval-error:0.111323
[306]	train-error:0.109271	eval-error:0.112274
[307]	train-error:0.109652	eval-error:0.114177
[308]	train-error:0.109652	eval-error:0.114177
[309]	train-error:0.109842	eval-error:0.114177
[310]	train-error:0.109652	eval-error:0.113225
[311]	train-error:0.109652	eval-error:0.114177
[312]	train-error:0.109652	eval-error:0.114177
[313]	train-error:0.109842	eval-error:0.114177
[314]	train-error:0.110032	eval-error:0.114177
[315]	train-error:0.109652	eval-error:0.112274
[316]	train-error:0.109461	eval-error:0.113225
[317]	train-error:0.109271	eval-error:0.111323
[318]	train-error:0.1087	eval-error:0.114177
[319]	train-error:0.109081	eval-error:0.113225
[320]	train-error:0.109081	eval-error:0.112274
[321]	train-error:0.1087	eval-error:0.112274
[322]	train-error:0.1087	eval-error:0.112274
[323]	train-error:0.1087	eval-error:0.115128
[324]	train-error:0.108319	eval-error:0.113225
[325]	train-error:0.1087	eval-error:0.112274
[326]	train-error:0.1087	eval-error:0.110371
[327]	train-error:0.10889	eval-error:0.112274
[328]	train-error:0.108319	eval-error:0.113225
[329]	train-error:0.10889	eval-error:0.110371
[330]	train-error:0.107748	eval-error:0.10942
