/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_var/main.py
Training var model for chart_26...
Dataset size: (55252, 12)
Class number: 2
Training set size: (44201, 8)
Validating set size: (11051, 8)
Positive examples : 10241
Negative examples : 45011
Preprossing finished, time cost : 0:00:01.476552
Data splited and saved in ../input/chart/var/chart_26.var_train.csv and ../input/chart/var/chart_26.var_valid.csv
Training set size: (55252, 9)
Validataion set size: (11051, 9)
Training the model...
[0]	train-error:0.114819	eval-error:0.116189
Multiple eval metrics have been passed: 'eval-error' will be used for early stopping.

Will train until eval-error hasn't improved in 100 rounds.
[182]	train-error:0.08025	eval-error:0.082165
[183]	train-error:0.08025	eval-error:0.082165
[184]	train-error:0.080214	eval-error:0.082255
[185]	train-error:0.080178	eval-error:0.082526
[186]	train-error:0.080142	eval-error:0.082888
[187]	train-error:0.080069	eval-error:0.082617
[188]	train-error:0.080051	eval-error:0.082345
[189]	train-error:0.079997	eval-error:0.082165
[190]	train-error:0.079961	eval-error:0.082165
[191]	train-error:0.079925	eval-error:0.081803
[192]	train-error:0.079925	eval-error:0.081984
[193]	train-error:0.079889	eval-error:0.082074
[194]	train-error:0.079834	eval-error:0.081893
[195]	train-error:0.079581	eval-error:0.081712
[196]	train-error:0.079798	eval-error:0.081984
[197]	train-error:0.079708	eval-error:0.081712
[198]	train-error:0.079708	eval-error:0.081803
[199]	train-error:0.079617	eval-error:0.081622
[200]	train-error:0.079454	eval-error:0.081441
[201]	train-error:0.079454	eval-error:0.081169
[202]	train-error:0.079418	eval-error:0.081169
[203]	train-error:0.079128	eval-error:0.080988
[204]	train-error:0.079273	eval-error:0.08135
[205]	train-error:0.079237	eval-error:0.08126
[206]	train-error:0.079183	eval-error:0.081079
[207]	train-error:0.079146	eval-error:0.081079
[208]	train-error:0.079165	eval-error:0.081169
[209]	train-error:0.079128	eval-error:0.081079
[210]	train-error:0.079074	eval-error:0.080988
[211]	train-error:0.079092	eval-error:0.080988
[212]	train-error:0.07902	eval-error:0.080898
[213]	train-error:0.078911	eval-error:0.080626
[214]	train-error:0.078893	eval-error:0.080988
[215]	train-error:0.078911	eval-error:0.080898
[216]	train-error:0.078784	eval-error:0.080807
[217]	train-error:0.078803	eval-error:0.080898
[218]	train-error:0.078676	eval-error:0.080807
[219]	train-error:0.078658	eval-error:0.080807
[220]	train-error:0.078658	eval-error:0.080807
[221]	train-error:0.07864	eval-error:0.080717
[222]	train-error:0.07864	eval-error:0.080807
[223]	train-error:0.078622	eval-error:0.080626
[224]	train-error:0.07873	eval-error:0.080898
[225]	train-error:0.078694	eval-error:0.080626
[226]	train-error:0.078603	eval-error:0.080536
[227]	train-error:0.078423	eval-error:0.080445
[228]	train-error:0.078332	eval-error:0.079993
[229]	train-error:0.078314	eval-error:0.080174
[230]	train-error:0.078187	eval-error:0.080083
[231]	train-error:0.078169	eval-error:0.080174
[232]	train-error:0.078097	eval-error:0.079902
[233]	train-error:0.078061	eval-error:0.079902
[234]	train-error:0.078097	eval-error:0.079902
[235]	train-error:0.07788	eval-error:0.079721
[236]	train-error:0.077934	eval-error:0.079812
[237]	train-error:0.077988	eval-error:0.079902
[238]	train-error:0.077898	eval-error:0.079721
[239]	train-error:0.077898	eval-error:0.079812
[240]	train-error:0.077771	eval-error:0.079993
[241]	train-error:0.077843	eval-error:0.079902
[242]	train-error:0.077771	eval-error:0.079721
[243]	train-error:0.077626	eval-error:0.079812
[244]	train-error:0.077735	eval-error:0.079902
[245]	train-error:0.077608	eval-error:0.07954
