816,1810,1231,568,0,18,39
371,1893,1248,561,0,67,45
805,1799,559,568,0,7,217
147,822,1046,367,0,7,17
361,1677,1015,346,0,7,349
416,2565,1527,158,0,7,205
313,1460,559,568,0,67,518
289,2414,864,557,0,67,131
868,904,86,568,0,7,552
915,1066,1009,365,0,7,327
289,315,864,557,0,67,131
504,567,630,568,0,67,204
813,577,31,561,0,64,219
246,1168,559,568,0,67,217
695,216,1443,561,0,18,105
152,1133,395,408,1,7,174
851,273,292,564,0,8,456
757,836,1477,561,1,7,218
592,939,630,568,0,67,535
534,160,836,568,0,18,45
242,1748,356,568,0,67,105
227,1798,718,565,0,7,209
311,393,1178,568,0,7,560
429,513,669,568,0,7,221
519,2006,433,510,0,7,17
313,2398,59,562,0,18,395
695,996,1465,517,0,3,371
898,837,1064,254,0,7,17
60,10,1462,461,0,56,205
799,904,86,568,0,7,552
175,2261,1044,365,0,7,329
790,1506,42,562,0,67,205
31,315,1461,402,0,67,292
619,2006,433,356,0,7,17
868,904,729,568,0,7,554
915,1067,1153,20,0,7,205
868,904,729,568,1,7,111
509,728,854,568,0,7,105
852,1409,506,564,0,8,456
741,1409,1561,562,0,46,412
245,1056,1088,385,0,7,205
389,619,842,568,0,7,221
336,1893,850,568,0,7,80
623,1867,746,20,1,7,118
158,836,215,568,0,7,1
230,441,683,568,1,7,228
262,73,1236,114,1,18,17
915,851,1564,561,0,7,258
652,1222,142,399,0,7,205
713,1915,977,333,0,7,17
152,43,725,71,0,18,205
873,1364,1381,460,0,67,380
175,1872,1044,365,0,7,329
337,1621,1254,568,1,67,105
601,816,55,408,0,7,171
507,664,767,568,1,30,133
199,2292,1231,568,0,7,260
242,1748,1590,568,1,7,39
370,1807,1531,561,1,7,106
793,363,1329,111,0,18,205
619,836,1297,361,0,7,350
636,2499,210,562,0,67,413
262,1984,166,114,0,18,454
392,433,1503,270,1,69,163
798,1251,850,568,1,67,217
82,1659,1292,562,0,56,205
183,1280,204,97,0,67,205
421,833,552,235,1,7,127
320,390,665,555,0,67,201
447,1405,1061,568,0,7,260
915,2243,630,568,0,18,39
458,836,968,366,1,7,168
492,902,491,323,1,7,17
907,2055,1503,568,0,18,45
126,1993,766,568,0,7,278
3,2153,514,76,0,18,205
710,904,1484,562,1,67,412
33,515,33,253,1,7,158
648,904,1484,562,0,7,548
289,803,363,568,0,67,39
131,1394,1174,568,1,7,472
790,1844,407,568,0,67,130
798,904,86,568,0,7,552
690,2398,1567,561,1,7,504
288,836,968,366,1,7,168
191,1810,1064,568,0,7,0
337,442,1564,561,1,67,40
365,315,651,570,0,7,62
695,996,1465,517,0,3,371
30,2318,1099,568,0,7,546
594,812,1461,402,1,67,311
75,481,559,568,0,7,72
388,1408,1363,568,0,7,221
519,2006,433,510,0,7,17
189,1337,1502,322,0,7,17
337,442,1564,561,0,67,39
313,1460,1119,562,0,67,452
75,481,904,568,1,7,105
472,810,1071,561,1,63,86
131,878,1583,277,0,7,17
262,73,166,114,1,18,17
940,1350,1438,166,0,67,17
611,904,729,568,0,67,111
507,922,850,568,0,18,39
507,981,1439,568,0,7,133
798,904,729,568,0,7,555
813,576,301,562,0,7,205
412,117,920,568,0,7,253
96,608,927,375,1,67,205
3,857,987,340,1,7,301
497,2545,1531,561,0,64,244
575,1798,1381,460,1,7,386
592,939,686,569,0,67,461
276,1157,776,309,0,7,17
488,1587,1591,568,0,67,105
487,2575,1034,397,0,67,205
289,803,825,568,0,7,267
503,150,31,565,0,18,42
