id	line	column	filename	methodname	varname	vartype	lastassign	isparam	incondnum	bodyuse	if
25	4859	8	Observable.java	blockingLast	v	T	blockingGet()	0	1	RET_USE	1
25	4859	8	Observable.java	blockingLast	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
26	4973	8	Observable.java	blockingSingle	v	T	blockingGet()	0	1	NO_USE	1
26	4973	8	Observable.java	blockingSingle	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
27	5981	8	Observable.java	concatMap	mapper	Function<? super T,? extends ObservableSource<? extends R>>	PARAM_AS	1	0	PARAM_USE	0
27	5981	8	Observable.java	concatMap	prefetch	int	PARAM_AS	1	0	NO_USE	0
27	5981	8	Observable.java	concatMap	THIS	Observable	UNKNOWN_AS	0	0	CLALLER_USE	0
28	5984	12	Observable.java	concatMap	v	T	call()	0	1	NO_USE	1
28	5984	12	Observable.java	concatMap	mapper	Function<? super T,? extends ObservableSource<? extends R>>	PARAM_AS	1	0	NO_USE	0
28	5984	12	Observable.java	concatMap	prefetch	int	PARAM_AS	1	0	NO_USE	0
28	5984	12	Observable.java	concatMap	THIS	Observable	UNKNOWN_AS	0	0	CLALLER_USE	0
29	6039	8	Observable.java	concatMapDelayError	mapper	Function<? super T,? extends ObservableSource<? extends R>>	PARAM_AS	1	0	PARAM_USE	0
29	6039	8	Observable.java	concatMapDelayError	prefetch	int	PARAM_AS	1	0	NO_USE	0
29	6039	8	Observable.java	concatMapDelayError	tillTheEnd	boolean	PARAM_AS	1	0	NO_USE	0
29	6039	8	Observable.java	concatMapDelayError	THIS	Observable	UNKNOWN_AS	0	0	CLALLER_USE	0
30	6042	12	Observable.java	concatMapDelayError	v	T	call()	0	1	NO_USE	1
30	6042	12	Observable.java	concatMapDelayError	mapper	Function<? super T,? extends ObservableSource<? extends R>>	PARAM_AS	1	0	NO_USE	0
30	6042	12	Observable.java	concatMapDelayError	prefetch	int	PARAM_AS	1	0	NO_USE	0
30	6042	12	Observable.java	concatMapDelayError	tillTheEnd	boolean	PARAM_AS	1	0	NO_USE	0
30	6042	12	Observable.java	concatMapDelayError	THIS	Observable	UNKNOWN_AS	0	0	CLALLER_USE	0
31	7158	8	Observable.java	elementAt	index	long	PARAM_AS	1	1	+	1
31	7158	8	Observable.java	elementAt	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
32	7187	8	Observable.java	elementAt	index	long	PARAM_AS	1	1	+	1
32	7187	8	Observable.java	elementAt	defaultItem	T	PARAM_AS	1	0	NO_USE	0
32	7187	8	Observable.java	elementAt	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
33	7215	8	Observable.java	elementAtOrError	index	long	PARAM_AS	1	1	+	1
33	7215	8	Observable.java	elementAtOrError	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
34	7427	8	Observable.java	flatMap	mapper	Function<? super T,? extends ObservableSource<? extends R>>	PARAM_AS	1	0	PARAM_USE	0
34	7427	8	Observable.java	flatMap	delayErrors	boolean	PARAM_AS	1	0	NO_USE	0
34	7427	8	Observable.java	flatMap	maxConcurrency	int	PARAM_AS	1	0	NO_USE	0
34	7427	8	Observable.java	flatMap	bufferSize	int	PARAM_AS	1	0	NO_USE	0
34	7427	8	Observable.java	flatMap	THIS	Observable	UNKNOWN_AS	0	0	CLALLER_USE	0
35	7430	12	Observable.java	flatMap	v	T	call()	0	1	NO_USE	1
35	7430	12	Observable.java	flatMap	mapper	Function<? super T,? extends ObservableSource<? extends R>>	PARAM_AS	1	0	NO_USE	0
35	7430	12	Observable.java	flatMap	delayErrors	boolean	PARAM_AS	1	0	NO_USE	0
35	7430	12	Observable.java	flatMap	maxConcurrency	int	PARAM_AS	1	0	NO_USE	0
35	7430	12	Observable.java	flatMap	bufferSize	int	PARAM_AS	1	0	NO_USE	0
35	7430	12	Observable.java	flatMap	THIS	Observable	UNKNOWN_AS	0	0	CLALLER_USE	0
36	9049	8	Observable.java	repeat	times	long	PARAM_AS	1	2	+	1
36	9049	8	Observable.java	repeat	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
37	9052	8	Observable.java	repeat	times	long	PARAM_AS	1	2	NO_USE	1
37	9052	8	Observable.java	repeat	THIS	Observable	UNKNOWN_AS	0	0	CLALLER_USE	0
38	9694	8	Observable.java	retry	times	long	PARAM_AS	1	1	+	1
38	9694	8	Observable.java	retry	predicate	Predicate<? super Throwable>	PARAM_AS	1	0	NO_USE	0
38	9694	8	Observable.java	retry	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
39	9808	8	Observable.java	safeSubscribe	s	Observer<? super T>	PARAM_AS	1	1	PARAM_USE	1
39	9808	8	Observable.java	safeSubscribe	THIS	Observable	UNKNOWN_AS	0	0	CLALLER_USE	0
40	10252	8	Observable.java	skip	count	long	PARAM_AS	1	1	NO_USE	1
40	10252	8	Observable.java	skip	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
41	10334	8	Observable.java	skipLast	count	int	PARAM_AS	1	2	+	1
41	10334	8	Observable.java	skipLast	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
42	10337	8	Observable.java	skipLast	count	int	PARAM_AS	1	2	NO_USE	1
42	10337	8	Observable.java	skipLast	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
43	10685	8	Observable.java	startWithArray	fromArray	Observable<T>	fromArray()	0	1	NO_USE	1
43	10685	8	Observable.java	startWithArray	items	T	PARAM_AS	1	0	NO_USE	0
43	10685	8	Observable.java	startWithArray	THIS	Observable	UNKNOWN_AS	0	1	NO_USE	1
44	11001	8	Observable.java	switchMap	mapper	Function<? super T,? extends ObservableSource<? extends R>>	PARAM_AS	1	0	PARAM_USE	0
44	11001	8	Observable.java	switchMap	bufferSize	int	PARAM_AS	1	0	NO_USE	0
44	11001	8	Observable.java	switchMap	THIS	Observable	UNKNOWN_AS	0	0	CLALLER_USE	0
