/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_var/main.py
Training var model for dubbo_...
Dataset size: (8237, 12)
Class number: 2
Training set size: (6589, 8)
Validating set size: (1648, 8)
Positive examples : 1794
Negative examples : 6443
Preprossing finished, time cost : 0:00:00.046412
Data splited and saved in ../input/dubbo/var/dubbo_.var_train.csv and ../input/dubbo/var/dubbo_.var_valid.csv
Training set size: (8237, 9)
Validataion set size: (1648, 9)
Model file already exists and be removed.
Training the model...
[0]	train-error:0.134029	eval-error:0.14017
Multiple eval metrics have been passed: 'eval-error' will be used for early stopping.

Will train until eval-error hasn't improved in 100 rounds.
[189]	train-error:0.070657	eval-error:0.082524
[190]	train-error:0.070778	eval-error:0.082524
[191]	train-error:0.070778	eval-error:0.083738
[192]	train-error:0.070657	eval-error:0.083738
[193]	train-error:0.070171	eval-error:0.083131
[194]	train-error:0.070171	eval-error:0.082524
[195]	train-error:0.069686	eval-error:0.081311
[196]	train-error:0.07005	eval-error:0.081311
[197]	train-error:0.069928	eval-error:0.080704
[198]	train-error:0.069564	eval-error:0.080704
[199]	train-error:0.069564	eval-error:0.080704
[200]	train-error:0.069443	eval-error:0.080704
[201]	train-error:0.0692	eval-error:0.080097
[202]	train-error:0.0692	eval-error:0.081311
[203]	train-error:0.069321	eval-error:0.080097
[204]	train-error:0.069079	eval-error:0.080097
[205]	train-error:0.068836	eval-error:0.080097
[206]	train-error:0.068836	eval-error:0.080097
[207]	train-error:0.068836	eval-error:0.080097
[208]	train-error:0.068714	eval-error:0.080097
[209]	train-error:0.069079	eval-error:0.080097
[210]	train-error:0.0692	eval-error:0.080097
[211]	train-error:0.069079	eval-error:0.080097
[212]	train-error:0.068836	eval-error:0.080097
[213]	train-error:0.069079	eval-error:0.080704
[214]	train-error:0.068836	eval-error:0.080704
[215]	train-error:0.068836	eval-error:0.081311
[216]	train-error:0.068836	eval-error:0.081917
[217]	train-error:0.068957	eval-error:0.081311
[218]	train-error:0.068714	eval-error:0.081311
[219]	train-error:0.068836	eval-error:0.080704
[220]	train-error:0.068836	eval-error:0.081917
[221]	train-error:0.068836	eval-error:0.082524
[222]	train-error:0.068714	eval-error:0.080704
[223]	train-error:0.068714	eval-error:0.080704
[224]	train-error:0.068957	eval-error:0.080704
[225]	train-error:0.0692	eval-error:0.081311
[226]	train-error:0.068957	eval-error:0.080097
[227]	train-error:0.068714	eval-error:0.07949
[228]	train-error:0.068472	eval-error:0.080097
[229]	train-error:0.068714	eval-error:0.080704
[230]	train-error:0.068472	eval-error:0.080704
[231]	train-error:0.068472	eval-error:0.080097
[232]	train-error:0.068714	eval-error:0.080704
[233]	train-error:0.068714	eval-error:0.081917
[234]	train-error:0.068472	eval-error:0.081311
[235]	train-error:0.068593	eval-error:0.081917
[236]	train-error:0.068714	eval-error:0.081311
[237]	train-error:0.068714	eval-error:0.080704
[238]	train-error:0.068836	eval-error:0.081311
[239]	train-error:0.068836	eval-error:0.081311
[240]	train-error:0.068836	eval-error:0.080704
[241]	train-error:0.068714	eval-error:0.081311
[242]	train-error:0.068229	eval-error:0.080704
[243]	train-error:0.067743	eval-error:0.080097
[244]	train-error:0.067865	eval-error:0.080097
[245]	train-error:0.067986	eval-error:0.080097
[246]	train-error:0.067865	eval-error:0.080097
[247]	train-error:0.068107	eval-error:0.080704
[248]	train-error:0.067865	eval-error:0.080704
[249]	train-error:0.067865	eval-error:0.080704
[250]	train-error:0.067865	eval-error:0.080704
[251]	train-error:0.067622	eval-error:0.080097
[252]	train-error:0.0675	eval-error:0.080097
[253]	train-error:0.067743	eval-error:0.080097
[254]	train-error:0.0675	eval-error:0.080097
[255]	train-error:0.067136	eval-error:0.078883
[256]	train-error:0.067257	eval-error:0.07949
[257]	train-error:0.067015	eval-error:0.078883
[258]	train-error:0.067015	eval-error:0.078277
[259]	train-error:0.067015	eval-error:0.078277
[260]	train-error:0.067136	eval-error:0.078277
[261]	train-error:0.067015	eval-error:0.078883
[262]	train-error:0.067015	eval-error:0.078883
[263]	train-error:0.066772	eval-error:0.078883
[264]	train-error:0.066772	eval-error:0.07949
[265]	train-error:0.066529	eval-error:0.07949
[266]	train-error:0.066286	eval-error:0.078883
[267]	train-error:0.066529	eval-error:0.080097
[268]	train-error:0.066529	eval-error:0.080097
[269]	train-error:0.066529	eval-error:0.080097
[270]	train-error:0.06665	eval-error:0.07949
[271]	train-error:0.066408	eval-error:0.07949
[272]	train-error:0.066408	eval-error:0.078883
[273]	train-error:0.066529	eval-error:0.078277
[274]	train-error:0.066408	eval-error:0.07767
[275]	train-error:0.066286	eval-error:0.07767
[276]	train-error:0.065922	eval-error:0.077063
[277]	train-error:0.066165	eval-error:0.078883
[278]	train-error:0.066165	eval-error:0.078883
[279]	train-error:0.066165	eval-error:0.078277
[280]	train-error:0.065679	eval-error:0.07767
[281]	train-error:0.065801	eval-error:0.077063
[282]	train-error:0.065558	eval-error:0.076456
[283]	train-error:0.065436	eval-error:0.07585
[284]	train-error:0.065436	eval-error:0.076456
[285]	train-error:0.065558	eval-error:0.076456
[286]	train-error:0.065558	eval-error:0.076456
[287]	train-error:0.065072	eval-error:0.07585
[288]	train-error:0.065315	eval-error:0.07585
[289]	train-error:0.065436	eval-error:0.076456
[290]	train-error:0.065315	eval-error:0.07585
[291]	train-error:0.065194	eval-error:0.075243
[292]	train-error:0.065436	eval-error:0.07585
[293]	train-error:0.065679	eval-error:0.077063
[294]	train-error:0.065194	eval-error:0.076456
[295]	train-error:0.064951	eval-error:0.076456
[296]	train-error:0.065194	eval-error:0.077063
[297]	train-error:0.065072	eval-error:0.076456
[298]	train-error:0.065315	eval-error:0.076456
[299]	train-error:0.064829	eval-error:0.076456
[300]	train-error:0.064951	eval-error:0.076456
[301]	train-error:0.065072	eval-error:0.076456
[302]	train-error:0.064951	eval-error:0.076456
[303]	train-error:0.064829	eval-error:0.076456
[304]	train-error:0.064951	eval-error:0.077063
[305]	train-error:0.064951	eval-error:0.077063
[306]	train-error:0.064829	eval-error:0.077063
[307]	train-error:0.064829	eval-error:0.077063
[308]	train-error:0.064951	eval-error:0.077063
[309]	train-error:0.064951	eval-error:0.07767
