id	line	column	filename	methodname	varname	vartype	else	return	right
801	88	16	ArrayCompositeSubscription.java	dispose	o	Subscription	0	DEF	$ != SubscriptionHelper.CANCELLED
802	90	20	ArrayCompositeSubscription.java	dispose	THIS	ArrayCompositeSubscription	0	DEF	o != $.SubscriptionHelper.CANCELLED
802	90	20	ArrayCompositeSubscription.java	dispose	o	Subscription	0	DEF	$ != null
802	90	20	ArrayCompositeSubscription.java	dispose	o	Subscription	0	DEF	$ != SubscriptionHelper.CANCELLED
209	69	8	AsyncProcessor.java	onSubscribe	THIS	AsyncProcessor	0	RET	$.subscribers.get() == TERMINATED
210	79	8	AsyncProcessor.java	onNext	THIS	AsyncProcessor	0	RET	$.subscribers.get() == TERMINATED
211	82	8	AsyncProcessor.java	onNext	t	T	0	RET	$ == null
212	102	8	AsyncProcessor.java	onError	t	Throwable	0	DEF	$ == null
213	105	8	AsyncProcessor.java	onError	THIS	AsyncProcessor	0	RET	$.subscribers.get() == TERMINATED
214	119	8	AsyncProcessor.java	onComplete	THIS	AsyncProcessor	0	RET	$.subscribers.get() == TERMINATED
215	124	8	AsyncProcessor.java	onComplete	v	T	1	DEF	$ == null
216	159	8	AsyncProcessor.java	subscribeActual	THIS	AsyncProcessor	1	DEF	$.add(as)
216	159	8	AsyncProcessor.java	subscribeActual	as	AsyncSubscription<T>	1	DEF	add($)
217	160	12	AsyncProcessor.java	subscribeActual	as	AsyncSubscription<T>	0	DEF	$.isCancelled()
218	165	12	AsyncProcessor.java	subscribeActual	ex	Throwable	1	DEF	$ != null
219	169	16	AsyncProcessor.java	subscribeActual	v	T	1	DEF	$ != null
220	187	12	AsyncProcessor.java	add	a	AsyncSubscription<T>[]	0	RET	$ == TERMINATED
221	197	12	AsyncProcessor.java	add	THIS	AsyncProcessor	0	RET	$.subscribers.compareAndSet(a, b)
221	197	12	AsyncProcessor.java	add	a	AsyncSubscription<T>[]	0	RET	subscribers.compareAndSet($, b)
221	197	12	AsyncProcessor.java	add	b	AsyncSubscription<T>[]	0	RET	subscribers.compareAndSet(a, $)
222	212	12	AsyncProcessor.java	remove	n	int	0	RET	$ == 0
58123	217	12	AsyncProcessor.java	remove	i	int	0	NIL-FOR	$ < n
58123	217	12	AsyncProcessor.java	remove	n	int	0	NIL-FOR	i < $
223	218	16	AsyncProcessor.java	remove	i	int	0	DEF	a[$] == ps
223	218	16	AsyncProcessor.java	remove	a	AsyncSubscription<T>[]	0	DEF	$[i] == ps
223	218	16	AsyncProcessor.java	remove	ps	AsyncSubscription<T>	0	DEF	a[i] == $
224	224	12	AsyncProcessor.java	remove	j	int	0	RET	$ < 0
225	230	12	AsyncProcessor.java	remove	n	int	1	DEF	$ == 1
226	237	12	AsyncProcessor.java	remove	THIS	AsyncProcessor	0	RET	$.subscribers.compareAndSet(a, b)
226	237	12	AsyncProcessor.java	remove	a	AsyncSubscription<T>[]	0	RET	subscribers.compareAndSet($, b)
226	237	12	AsyncProcessor.java	remove	b	AsyncSubscription<T>[]	0	RET	subscribers.compareAndSet(a, $)
227	281	8	AsyncProcessor.java	getValues	v	T	0	RET	$ == null
228	282	12	AsyncProcessor.java	getValues	THIS	AsyncProcessor	0	DEF	array.$.length != 0
228	282	12	AsyncProcessor.java	getValues	array	T[]	0	DEF	$.length != 0
229	287	8	AsyncProcessor.java	getValues	THIS	AsyncProcessor	0	DEF	array.$.length == 0
229	287	8	AsyncProcessor.java	getValues	array	T[]	0	DEF	$.length == 0
230	291	8	AsyncProcessor.java	getValues	THIS	AsyncProcessor	0	DEF	array.$.length != 1
230	291	8	AsyncProcessor.java	getValues	array	T[]	0	DEF	$.length != 1
1361	71	8	AsyncSubject.java	onSubscribe	THIS	AsyncSubject	0	DEF	$.subscribers.get() == TERMINATED
1362	78	8	AsyncSubject.java	onNext	THIS	AsyncSubject	0	RET	$.subscribers.get() == TERMINATED
1363	81	8	AsyncSubject.java	onNext	t	T	0	RET	$ == null
1364	101	8	AsyncSubject.java	onError	t	Throwable	0	DEF	$ == null
1365	104	8	AsyncSubject.java	onError	THIS	AsyncSubject	0	RET	$.subscribers.get() == TERMINATED
1366	118	8	AsyncSubject.java	onComplete	THIS	AsyncSubject	0	RET	$.subscribers.get() == TERMINATED
1367	123	8	AsyncSubject.java	onComplete	v	T	1	DEF	$ == null
1368	158	8	AsyncSubject.java	subscribeActual	THIS	AsyncSubject	1	DEF	$.add(as)
1368	158	8	AsyncSubject.java	subscribeActual	as	AsyncDisposable<T>	1	DEF	add($)
1369	159	12	AsyncSubject.java	subscribeActual	as	AsyncDisposable<T>	0	DEF	$.isDisposed()
1370	164	12	AsyncSubject.java	subscribeActual	ex	Throwable	1	DEF	$ != null
1371	168	16	AsyncSubject.java	subscribeActual	v	T	1	DEF	$ != null
1372	186	12	AsyncSubject.java	add	a	AsyncDisposable<T>[]	0	RET	$ == TERMINATED
1373	196	12	AsyncSubject.java	add	THIS	AsyncSubject	0	RET	$.subscribers.compareAndSet(a, b)
1373	196	12	AsyncSubject.java	add	a	AsyncDisposable<T>[]	0	RET	subscribers.compareAndSet($, b)
